Ticker,ROC,Earnings Yield,P/E Ratio,Ranking
NVDA,81.14349519010537,62030641278.17904,45.944199072184695,4.0
AAPL,68.72062393471413,40538070138.02139,42.763644476386034,10.0
GOOG,32.396007601474814,47057331603.1615,14.17942921994401,19.5
GOOGL,32.396007601474814,46590165849.10067,15.203022735561776,20.5
MSFT,28.663338710306657,33126519250.372463,28.32110345399906,28.0
NFLX,30.256058227280164,16328852062.416836,31.34747219497394,31.0
PM,35.34667946432653,8307998066.2835045,25.569885789445713,39.0
META,26.8664497123556,14262297766.424316,22.2737748168335,40.0
PG,24.199847427328724,14466376259.188675,21.26679646510283,40.0
KO,21.1312623451248,19876140074.315956,29.153078375740442,42.0
JNJ,23.125913264040143,12050425600.68958,25.03313185952507,45.0
QCOM,32.50567087002122,7905914456.902178,32.49286343504602,46.0
MRK,20.6598549830015,14719705920.966259,20.58994890615317,47.0
BKNG,67.23698869966577,4329933890.227028,27.131176344374534,48.0
WMT,18.2100350453445,29762036524.626453,39.41053953250354,49.0
TJX,32.9063643666875,5577577729.0264015,26.466248839386605,50.0
AMZN,16.596476550612714,38464658169.17729,35.95437857333333,51.0
HD,28.916624238004157,6606721790.800767,22.41700616995055,54.0
MA,61.47475712693103,3295146062.0443563,34.022837172411144,55.0
NEM,22.507732109163765,8871425285.593805,19.397753409531404,55.0
KLAC,43.1635832142317,3406016537.527467,46.77394160311469,56.0
BMY,16.840035424265622,16476721985.607285,19.71766953884888,56.0
WDC,104.66687454526557,2280499128.111058,17.12239886449559,58.0
LRCX,47.857665888645464,2876838994.054534,50.40490619644133,60.0
IBKR,19.559210669451517,9671866594.943518,42.798352453709356,60.0
GILD,22.918873120101672,7155138209.231584,22.03360969907168,61.0
LLY,38.44241922120961,2560883063.125216,50.0999677518217,65.0
APH,20.277501265538948,7272450347.264531,47.392900880963865,65.0
MCD,22.625738840337963,4806455340.291954,21.45567799760948,68.0
T,9.227439700014738,129098892707.1401,8.174918242313124,69.0
AMAT,33.71024734982332,2188525154.274965,49.433704112336386,70.0
